country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
United Kingdom,2022-05-03,-13.0,9.0,28.0,-27.0,-25.0,5.0
United Kingdom,2022-05-04,-13.0,5.0,20.0,-28.0,-23.0,5.0
United Kingdom,2022-05-05,-7.0,9.0,50.0,-26.0,-23.0,4.0
United Kingdom,2022-05-06,-11.0,6.0,34.0,-26.0,-23.0,4.0
United Kingdom,2022-05-07,-12.0,2.0,36.0,-18.0,-4.0,0.0
United Kingdom,2022-05-08,-6.0,3.0,63.0,-13.0,-1.0,-1.0
United Kingdom,2022-05-09,-11.0,6.0,38.0,-27.0,-24.0,5.0
United Kingdom,2022-05-10,-12.0,7.0,34.0,-26.0,-23.0,4.0
United Kingdom,2022-05-11,-13.0,4.0,15.0,-27.0,-23.0,5.0
United Kingdom,2022-05-12,-10.0,7.0,40.0,-26.0,-22.0,4.0
United Kingdom,2022-05-13,-10.0,8.0,42.0,-25.0,-23.0,4.0
United Kingdom,2022-05-14,-14.0,3.0,56.0,-16.0,-5.0,-1.0
United Kingdom,2022-05-15,-11.0,1.0,25.0,-15.0,-3.0,0.0
United Kingdom,2022-05-16,-12.0,6.0,30.0,-27.0,-25.0,5.0
United Kingdom,2022-05-17,-11.0,6.0,48.0,-25.0,-23.0,4.0
United Kingdom,2022-05-18,-10.0,7.0,42.0,-25.0,-22.0,4.0
United Kingdom,2022-05-19,-9.0,8.0,55.0,-25.0,-23.0,4.0
United Kingdom,2022-05-20,-12.0,7.0,26.0,-25.0,-23.0,4.0
United Kingdom,2022-05-21,-13.0,3.0,43.0,-16.0,-5.0,-1.0
United Kingdom,2022-05-22,-8.0,3.0,56.0,-11.0,-2.0,-1.0
United Kingdom,2022-05-23,-12.0,7.0,31.0,-26.0,-24.0,5.0
United Kingdom,2022-05-24,-12.0,7.0,32.0,-25.0,-23.0,5.0
United Kingdom,2022-05-25,-10.0,7.0,23.0,-25.0,-23.0,5.0
United Kingdom,2022-05-26,-8.0,9.0,37.0,-24.0,-23.0,4.0
United Kingdom,2022-05-27,-7.0,9.0,54.0,-21.0,-24.0,3.0
United Kingdom,2022-05-28,-13.0,4.0,48.0,-13.0,-6.0,-2.0
United Kingdom,2022-05-29,-7.0,2.0,47.0,-9.0,-3.0,-1.0
United Kingdom,2022-05-30,-2.0,8.0,54.0,-26.0,-36.0,6.0
United Kingdom,2022-05-31,-1.0,11.0,51.0,-26.0,-35.0,6.0
United Kingdom,2022-06-01,9.0,20.0,74.0,-21.0,-36.0,4.0
United Kingdom,2022-06-02,7.0,10.0,151.0,-30.0,-67.0,10.0
United Kingdom,2022-06-03,-13.0,-5.0,112.0,-36.0,-68.0,12.0
United Kingdom,2022-06-04,-23.0,-3.0,51.0,-20.0,-14.0,0.0
United Kingdom,2022-06-05,-21.0,-4.0,17.0,-15.0,-6.0,0.0
United Kingdom,2022-06-06,-12.0,8.0,37.0,-28.0,-29.0,6.0
United Kingdom,2022-06-07,-12.0,8.0,46.0,-24.0,-25.0,5.0
United Kingdom,2022-06-08,-12.0,8.0,31.0,-25.0,-24.0,5.0
United Kingdom,2022-06-09,-11.0,8.0,40.0,-24.0,-24.0,5.0
United Kingdom,2022-06-10,-10.0,8.0,50.0,-22.0,-24.0,4.0
United Kingdom,2022-06-11,-15.0,3.0,45.0,-15.0,-4.0,-1.0
United Kingdom,2022-06-12,-8.0,4.0,55.0,-10.0,-1.0,-1.0
United Kingdom,2022-06-13,-9.0,9.0,52.0,-23.0,-25.0,4.0
United Kingdom,2022-06-14,-9.0,9.0,60.0,-22.0,-23.0,4.0
United Kingdom,2022-06-15,-8.0,11.0,58.0,-22.0,-23.0,4.0
United Kingdom,2022-06-16,-7.0,13.0,66.0,-22.0,-24.0,4.0
United Kingdom,2022-06-17,-11.0,11.0,67.0,-21.0,-26.0,4.0
United Kingdom,2022-06-18,-16.0,6.0,28.0,-16.0,-6.0,0.0
United Kingdom,2022-06-19,-5.0,6.0,46.0,-9.0,-1.0,-1.0
United Kingdom,2022-06-20,-8.0,10.0,67.0,-22.0,-25.0,4.0
United Kingdom,2022-06-21,-10.0,11.0,66.0,-36.0,-26.0,5.0
United Kingdom,2022-06-22,-10.0,10.0,64.0,-28.0,-25.0,5.0
United Kingdom,2022-06-23,-11.0,10.0,59.0,-35.0,-26.0,5.0
United Kingdom,2022-06-24,-10.0,9.0,50.0,-24.0,-26.0,4.0
United Kingdom,2022-06-25,-14.0,4.0,46.0,-24.0,-6.0,0.0
United Kingdom,2022-06-26,-7.0,4.0,54.0,-11.0,-2.0,-1.0
United Kingdom,2022-06-27,-9.0,8.0,43.0,-23.0,-26.0,5.0
United Kingdom,2022-06-28,-10.0,8.0,40.0,-23.0,-25.0,5.0
United Kingdom,2022-06-29,-8.0,8.0,36.0,-23.0,-24.0,5.0
United Kingdom,2022-06-30,-6.0,10.0,45.0,-22.0,-25.0,5.0
United Kingdom,2022-07-01,-9.0,8.0,47.0,-20.0,-27.0,4.0
United Kingdom,2022-07-02,-14.0,2.0,41.0,-13.0,-6.0,0.0
United Kingdom,2022-07-03,-8.0,3.0,56.0,-8.0,-3.0,-1.0
United Kingdom,2022-07-04,-8.0,9.0,56.0,-23.0,-28.0,5.0
United Kingdom,2022-07-05,-9.0,9.0,58.0,-23.0,-26.0,5.0
United Kingdom,2022-07-06,-9.0,7.0,46.0,-24.0,-26.0,5.0
United Kingdom,2022-07-07,-7.0,10.0,66.0,-23.0,-26.0,4.0
United Kingdom,2022-07-08,-9.0,10.0,68.0,-22.0,-28.0,4.0
United Kingdom,2022-07-09,-16.0,4.0,69.0,-12.0,-8.0,-1.0
United Kingdom,2022-07-10,-10.0,6.0,79.0,-6.0,-5.0,-2.0
United Kingdom,2022-07-11,-7.0,13.0,71.0,-23.0,-30.0,5.0
United Kingdom,2022-07-12,-10.0,9.0,60.0,-24.0,-29.0,5.0
United Kingdom,2022-07-13,-7.0,10.0,62.0,-24.0,-27.0,5.0
United Kingdom,2022-07-14,-6.0,11.0,69.0,-23.0,-27.0,5.0
United Kingdom,2022-07-15,-13.0,4.0,64.0,-23.0,-29.0,5.0
United Kingdom,2022-07-16,-16.0,7.0,61.0,-12.0,-7.0,-1.0
United Kingdom,2022-07-17,-11.0,8.0,64.0,-8.0,-4.0,-1.0
United Kingdom,2022-07-18,-13.0,10.0,59.0,-30.0,-33.0,10.0
United Kingdom,2022-07-19,-16.0,9.0,42.0,-34.0,-33.0,16.0
United Kingdom,2022-07-20,-5.0,14.0,51.0,-24.0,-27.0,6.0
United Kingdom,2022-07-21,-4.0,12.0,64.0,-23.0,-28.0,5.0
United Kingdom,2022-07-22,-9.0,8.0,52.0,-23.0,-31.0,6.0
United Kingdom,2022-07-23,-15.0,3.0,49.0,-14.0,-7.0,0.0
United Kingdom,2022-07-24,-12.0,-1.0,50.0,-13.0,-5.0,0.0
United Kingdom,2022-07-25,-4.0,9.0,63.0,-25.0,-35.0,7.0
United Kingdom,2022-07-26,-4.0,9.0,78.0,-23.0,-34.0,6.0
United Kingdom,2022-07-27,-3.0,9.0,76.0,-33.0,-35.0,7.0
United Kingdom,2022-07-28,-2.0,11.0,82.0,-25.0,-34.0,6.0
United Kingdom,2022-07-29,-4.0,9.0,82.0,-21.0,-36.0,5.0
United Kingdom,2022-07-30,-13.0,2.0,49.0,-16.0,-9.0,-1.0
United Kingdom,2022-07-31,-7.0,3.0,54.0,-7.0,-4.0,-1.0
United Kingdom,2022-08-01,-1.0,10.0,90.0,-23.0,-37.0,6.0
United Kingdom,2022-08-02,-4.0,9.0,74.0,-25.0,-36.0,7.0
United Kingdom,2022-08-03,-3.0,9.0,82.0,-24.0,-35.0,6.0
United Kingdom,2022-08-04,-3.0,10.0,94.0,-24.0,-35.0,6.0
United Kingdom,2022-08-05,-7.0,8.0,82.0,-23.0,-37.0,5.0
United Kingdom,2022-08-06,-15.0,2.0,67.0,-10.0,-10.0,-1.0
United Kingdom,2022-08-07,-7.0,4.0,82.0,-5.0,-5.0,-2.0
United Kingdom,2022-08-08,-3.0,11.0,100.0,-23.0,-37.0,5.0
United Kingdom,2022-08-09,-5.0,10.0,97.0,-24.0,-36.0,5.0
United Kingdom,2022-08-10,-5.0,10.0,93.0,-25.0,-35.0,6.0
United Kingdom,2022-08-11,-7.0,11.0,98.0,-25.0,-36.0,6.0
United Kingdom,2022-08-12,-12.0,8.0,85.0,-24.0,-37.0,5.0
United Kingdom,2022-08-13,-20.0,2.0,66.0,-18.0,-10.0,-1.0
United Kingdom,2022-08-14,-12.0,3.0,73.0,-8.0,-5.0,-1.0
United Kingdom,2022-08-15,-5.0,10.0,75.0,-25.0,-36.0,8.0
United Kingdom,2022-08-16,-6.0,7.0,56.0,-26.0,-35.0,8.0
United Kingdom,2022-08-17,-6.0,6.0,59.0,-25.0,-34.0,9.0
United Kingdom,2022-08-18,-5.0,9.0,79.0,-34.0,-35.0,9.0
United Kingdom,2022-08-19,-8.0,7.0,76.0,-28.0,-36.0,8.0
United Kingdom,2022-08-20,-15.0,2.0,55.0,-23.0,-8.0,1.0
United Kingdom,2022-08-21,-7.0,2.0,70.0,-8.0,-3.0,0.0
United Kingdom,2022-08-22,-4.0,7.0,65.0,-25.0,-36.0,8.0
United Kingdom,2022-08-23,-4.0,8.0,78.0,-24.0,-34.0,8.0
United Kingdom,2022-08-24,-4.0,8.0,71.0,-24.0,-34.0,8.0
United Kingdom,2022-08-25,-5.0,8.0,69.0,-26.0,-35.0,8.0
United Kingdom,2022-08-26,-5.0,9.0,84.0,-22.0,-37.0,7.0
United Kingdom,2022-08-27,-14.0,2.0,71.0,-11.0,-10.0,0.0
United Kingdom,2022-08-28,-1.0,2.0,93.0,-4.0,-4.0,-2.0
United Kingdom,2022-08-29,0.0,-1.0,122.0,-35.0,-69.0,12.0
United Kingdom,2022-08-30,-4.0,12.0,68.0,-25.0,-35.0,6.0
United Kingdom,2022-08-31,-2.0,10.0,63.0,-25.0,-33.0,7.0
United Kingdom,2022-09-01,-6.0,9.0,65.0,-25.0,-31.0,5.0
United Kingdom,2022-09-02,-9.0,7.0,54.0,-24.0,-31.0,5.0
United Kingdom,2022-09-03,-12.0,2.0,33.0,-14.0,-8.0,0.0
United Kingdom,2022-09-04,-9.0,5.0,40.0,-12.0,-3.0,0.0
United Kingdom,2022-09-05,-7.0,8.0,44.0,-24.0,-29.0,5.0
United Kingdom,2022-09-06,-12.0,6.0,28.0,-24.0,-27.0,5.0
United Kingdom,2022-09-07,-11.0,7.0,30.0,-23.0,-26.0,5.0
United Kingdom,2022-09-08,-12.0,5.0,26.0,-24.0,-27.0,5.0
United Kingdom,2022-09-09,-13.0,6.0,28.0,-23.0,-27.0,5.0
United Kingdom,2022-09-10,-15.0,3.0,35.0,-15.0,-7.0,0.0
United Kingdom,2022-09-11,-10.0,4.0,45.0,-9.0,-2.0,0.0
United Kingdom,2022-09-12,-11.0,7.0,42.0,-21.0,-27.0,5.0
United Kingdom,2022-09-13,-11.0,7.0,37.0,-21.0,-27.0,4.0
United Kingdom,2022-09-14,-10.0,7.0,39.0,-21.0,-26.0,4.0
United Kingdom,2022-09-15,-9.0,9.0,44.0,-23.0,-26.0,4.0
United Kingdom,2022-09-16,-9.0,10.0,40.0,-20.0,-27.0,4.0
United Kingdom,2022-09-17,-11.0,7.0,38.0,-11.0,-7.0,-1.0
United Kingdom,2022-09-18,-1.0,20.0,45.0,-6.0,-4.0,-2.0
United Kingdom,2022-09-19,-60.0,-61.0,46.0,-53.0,-78.0,21.0
United Kingdom,2022-09-20,-8.0,22.0,36.0,-20.0,-26.0,4.0
United Kingdom,2022-09-21,-9.0,11.0,35.0,-21.0,-26.0,4.0
United Kingdom,2022-09-22,-10.0,9.0,34.0,-21.0,-26.0,5.0
United Kingdom,2022-09-23,-10.0,10.0,33.0,-20.0,-27.0,4.0
United Kingdom,2022-09-24,-11.0,6.0,31.0,-12.0,-7.0,0.0
United Kingdom,2022-09-25,-7.0,5.0,37.0,-10.0,-4.0,0.0
United Kingdom,2022-09-26,-10.0,7.0,21.0,-22.0,-28.0,5.0
United Kingdom,2022-09-27,-11.0,9.0,18.0,-22.0,-26.0,5.0
United Kingdom,2022-09-28,-7.0,10.0,23.0,-21.0,-25.0,5.0
United Kingdom,2022-09-29,-8.0,11.0,31.0,-21.0,-25.0,4.0
United Kingdom,2022-09-30,-12.0,6.0,4.0,-22.0,-26.0,5.0
United Kingdom,2022-10-01,-8.0,8.0,20.0,-21.0,-8.0,0.0
United Kingdom,2022-10-02,-6.0,5.0,32.0,-10.0,-3.0,0.0
United Kingdom,2022-10-03,-8.0,10.0,29.0,-21.0,-26.0,5.0
United Kingdom,2022-10-04,-11.0,8.0,17.0,-21.0,-24.0,5.0
United Kingdom,2022-10-05,-13.0,6.0,4.0,-31.0,-26.0,6.0
United Kingdom,2022-10-06,-9.0,9.0,29.0,-22.0,-23.0,5.0
United Kingdom,2022-10-07,-12.0,7.0,17.0,-22.0,-25.0,5.0
United Kingdom,2022-10-08,-9.0,6.0,31.0,-22.0,-6.0,0.0
United Kingdom,2022-10-09,-8.0,3.0,32.0,-12.0,-4.0,0.0
United Kingdom,2022-10-10,-10.0,7.0,30.0,-23.0,-26.0,5.0
United Kingdom,2022-10-11,-11.0,7.0,29.0,-21.0,-24.0,5.0
United Kingdom,2022-10-12,-11.0,6.0,16.0,-22.0,-24.0,5.0
United Kingdom,2022-10-13,-9.0,9.0,30.0,-21.0,-24.0,5.0
United Kingdom,2022-10-14,-10.0,9.0,18.0,-21.0,-25.0,5.0
United Kingdom,2022-10-15,-11.0,6.0,13.0,-15.0,-7.0,1.0
India,2020-02-15,1.0,2.0,3.0,3.0,5.0,0.0
India,2020-02-16,2.0,2.0,3.0,2.0,0.0,0.0
India,2020-02-17,-1.0,1.0,3.0,1.0,4.0,0.0
India,2020-02-18,0.0,2.0,4.0,2.0,3.0,0.0
India,2020-02-19,0.0,2.0,1.0,1.0,4.0,1.0
India,2020-02-20,1.0,3.0,5.0,5.0,4.0,-1.0
India,2020-02-21,-4.0,0.0,6.0,-4.0,-19.0,5.0
India,2020-02-22,-2.0,-2.0,4.0,-2.0,-2.0,1.0
India,2020-02-23,-2.0,-1.0,1.0,0.0,2.0,1.0
India,2020-02-24,-1.0,0.0,2.0,1.0,4.0,0.0
India,2020-02-25,-1.0,-2.0,3.0,1.0,1.0,0.0
India,2020-02-26,0.0,0.0,1.0,3.0,3.0,-1.0
India,2020-02-27,-1.0,-1.0,3.0,1.0,4.0,0.0
India,2020-02-28,0.0,1.0,3.0,1.0,5.0,0.0
India,2020-02-29,-2.0,-1.0,-1.0,0.0,8.0,0.0
India,2020-03-01,1.0,4.0,1.0,0.0,3.0,1.0
India,2020-03-02,0.0,2.0,3.0,0.0,5.0,0.0
India,2020-03-03,-1.0,2.0,3.0,0.0,4.0,0.0
India,2020-03-04,0.0,5.0,1.0,3.0,7.0,0.0
India,2020-03-05,-1.0,3.0,3.0,2.0,5.0,0.0
India,2020-03-06,-1.0,2.0,0.0,3.0,5.0,1.0
India,2020-03-07,0.0,6.0,2.0,5.0,7.0,0.0
India,2020-03-08,2.0,9.0,2.0,3.0,6.0,0.0
India,2020-03-09,-1.0,6.0,4.0,-6.0,-12.0,3.0
India,2020-03-10,-19.0,-23.0,-4.0,-22.0,-44.0,11.0
India,2020-03-11,-5.0,-1.0,-2.0,-1.0,-5.0,1.0
India,2020-03-12,-3.0,1.0,2.0,0.0,0.0,0.0
India,2020-03-13,-5.0,1.0,0.0,-2.0,0.0,1.0
India,2020-03-14,-11.0,-3.0,-6.0,-8.0,-6.0,4.0
India,2020-03-15,-11.0,-1.0,-6.0,-7.0,2.0,3.0
India,2020-03-16,-8.0,2.0,-1.0,-6.0,-4.0,3.0
India,2020-03-17,-11.0,0.0,-2.0,-9.0,-8.0,3.0
India,2020-03-18,-12.0,1.0,-6.0,-10.0,-8.0,4.0
India,2020-03-19,-16.0,1.0,-7.0,-14.0,-11.0,5.0
India,2020-03-20,-22.0,1.0,-13.0,-18.0,-15.0,7.0
India,2020-03-21,-34.0,-4.0,-23.0,-25.0,-18.0,8.0
India,2020-03-22,-78.0,-76.0,-58.0,-70.0,-49.0,21.0
India,2020-03-23,-54.0,-27.0,-35.0,-52.0,-50.0,20.0
India,2020-03-24,-68.0,-48.0,-44.0,-64.0,-65.0,25.0
India,2020-03-25,-77.0,-64.0,-53.0,-73.0,-72.0,30.0
India,2020-03-26,-76.0,-64.0,-51.0,-73.0,-70.0,30.0
India,2020-03-27,-77.0,-64.0,-52.0,-73.0,-70.0,31.0
India,2020-03-28,-78.0,-65.0,-54.0,-73.0,-66.0,29.0
India,2020-03-29,-77.0,-65.0,-57.0,-71.0,-47.0,22.0
India,2020-03-30,-76.0,-63.0,-51.0,-74.0,-68.0,30.0
India,2020-03-31,-75.0,-63.0,-50.0,-73.0,-68.0,29.0
India,2020-04-01,-76.0,-64.0,-52.0,-73.0,-68.0,29.0
India,2020-04-02,-76.0,-65.0,-51.0,-74.0,-69.0,30.0
India,2020-04-03,-76.0,-62.0,-51.0,-73.0,-67.0,30.0
India,2020-04-04,-77.0,-64.0,-53.0,-73.0,-61.0,28.0
India,2020-04-05,-77.0,-65.0,-56.0,-71.0,-43.0,21.0
India,2020-04-06,-76.0,-63.0,-50.0,-73.0,-68.0,30.0
India,2020-04-07,-78.0,-53.0,-46.0,-67.0,-67.0,28.0
India,2020-04-08,-78.0,-52.0,-48.0,-68.0,-67.0,29.0
India,2020-04-09,-78.0,-54.0,-48.0,-68.0,-68.0,30.0
India,2020-04-10,-79.0,-53.0,-48.0,-69.0,-69.0,32.0
India,2020-04-11,-80.0,-55.0,-52.0,-69.0,-64.0,30.0
India,2020-04-12,-79.0,-56.0,-54.0,-67.0,-44.0,22.0
India,2020-04-13,-78.0,-53.0,-48.0,-69.0,-66.0,31.0
India,2020-04-14,-78.0,-55.0,-47.0,-69.0,-69.0,30.0
India,2020-04-15,-78.0,-51.0,-48.0,-66.0,-64.0,29.0
India,2020-04-16,-85.0,-44.0,-60.0,-65.0,-65.0,30.0
India,2020-04-17,-85.0,-43.0,-60.0,-65.0,-65.0,31.0
India,2020-04-18,-87.0,-50.0,-66.0,-67.0,-60.0,28.0
India,2020-04-19,-86.0,-50.0,-68.0,-65.0,-42.0,22.0
India,2020-04-20,-86.0,-47.0,-62.0,-67.0,-63.0,30.0
India,2020-04-21,-85.0,-47.0,-62.0,-66.0,-64.0,29.0
India,2020-04-22,-86.0,-46.0,-63.0,-66.0,-63.0,29.0
India,2020-04-23,-86.0,-47.0,-62.0,-66.0,-64.0,30.0
India,2020-04-24,-85.0,-44.0,-63.0,-66.0,-63.0,30.0
India,2020-04-25,-86.0,-46.0,-65.0,-66.0,-59.0,29.0
India,2020-04-26,-86.0,-51.0,-68.0,-66.0,-41.0,22.0
India,2020-04-27,-85.0,-47.0,-62.0,-67.0,-62.0,31.0
India,2020-04-28,-85.0,-46.0,-61.0,-66.0,-63.0,28.0
India,2020-04-29,-85.0,-44.0,-62.0,-64.0,-61.0,29.0
India,2020-04-30,-84.0,-43.0,-60.0,-64.0,-61.0,29.0
India,2020-05-01,-85.0,-43.0,-62.0,-65.0,-64.0,30.0
India,2020-05-02,-85.0,-44.0,-64.0,-64.0,-54.0,27.0
India,2020-05-03,-85.0,-46.0,-67.0,-63.0,-37.0,21.0
India,2020-05-04,-81.0,-35.0,-60.0,-61.0,-56.0,27.0
India,2020-05-05,-81.0,-35.0,-60.0,-59.0,-56.0,26.0
India,2020-05-06,-79.0,-30.0,-60.0,-56.0,-54.0,25.0
India,2020-05-07,-79.0,-31.0,-59.0,-57.0,-56.0,26.0
India,2020-05-08,-79.0,-28.0,-59.0,-56.0,-52.0,26.0
India,2020-05-09,-80.0,-32.0,-62.0,-57.0,-49.0,25.0
India,2020-05-10,-82.0,-39.0,-65.0,-58.0,-32.0,19.0
India,2020-05-11,-78.0,-28.0,-58.0,-56.0,-50.0,25.0
India,2020-05-12,-78.0,-28.0,-57.0,-55.0,-52.0,24.0
India,2020-05-13,-77.0,-26.0,-58.0,-53.0,-49.0,23.0
India,2020-05-14,-77.0,-27.0,-57.0,-54.0,-49.0,23.0
India,2020-05-15,-76.0,-22.0,-56.0,-52.0,-48.0,23.0
India,2020-05-16,-77.0,-25.0,-59.0,-52.0,-41.0,22.0
India,2020-05-17,-79.0,-32.0,-63.0,-54.0,-27.0,17.0
India,2020-05-18,-74.0,-21.0,-56.0,-52.0,-45.0,22.0
India,2020-05-19,-73.0,-20.0,-56.0,-50.0,-46.0,21.0
India,2020-05-20,-72.0,-21.0,-57.0,-49.0,-44.0,21.0
India,2020-05-21,-72.0,-20.0,-56.0,-49.0,-44.0,21.0
India,2020-05-22,-72.0,-17.0,-56.0,-48.0,-42.0,21.0
India,2020-05-23,-72.0,-18.0,-59.0,-48.0,-37.0,19.0
India,2020-05-24,-76.0,-28.0,-61.0,-50.0,-24.0,15.0
India,2020-05-25,-71.0,-19.0,-55.0,-51.0,-51.0,22.0
India,2020-05-26,-70.0,-16.0,-54.0,-46.0,-42.0,19.0
India,2020-05-27,-69.0,-13.0,-55.0,-45.0,-39.0,19.0
India,2020-05-28,-69.0,-14.0,-54.0,-46.0,-40.0,19.0
India,2020-05-29,-69.0,-10.0,-54.0,-45.0,-38.0,19.0
India,2020-05-30,-69.0,-12.0,-58.0,-44.0,-29.0,17.0
India,2020-05-31,-73.0,-22.0,-61.0,-46.0,-16.0,14.0
India,2020-06-01,-65.0,-4.0,-53.0,-41.0,-35.0,17.0
India,2020-06-02,-65.0,-4.0,-53.0,-40.0,-37.0,16.0
India,2020-06-03,-65.0,-4.0,-54.0,-40.0,-35.0,17.0
India,2020-06-04,-64.0,-4.0,-53.0,-39.0,-35.0,16.0
India,2020-06-05,-62.0,-2.0,-52.0,-39.0,-34.0,17.0
India,2020-06-06,-63.0,-5.0,-55.0,-39.0,-26.0,15.0
India,2020-06-07,-67.0,-14.0,-58.0,-41.0,-14.0,12.0
India,2020-06-08,-59.0,2.0,-51.0,-38.0,-32.0,15.0
India,2020-06-09,-59.0,0.0,-51.0,-37.0,-34.0,15.0
India,2020-06-10,-58.0,2.0,-51.0,-35.0,-32.0,15.0
India,2020-06-11,-57.0,2.0,-49.0,-36.0,-33.0,15.0
India,2020-06-12,-57.0,6.0,-50.0,-36.0,-33.0,15.0
India,2020-06-13,-59.0,-1.0,-53.0,-37.0,-29.0,15.0
India,2020-06-14,-64.0,-12.0,-56.0,-39.0,-14.0,12.0
India,2020-06-15,-56.0,3.0,-49.0,-37.0,-33.0,15.0
India,2020-06-16,-57.0,1.0,-48.0,-37.0,-34.0,14.0
India,2020-06-17,-56.0,3.0,-50.0,-35.0,-33.0,14.0
India,2020-06-18,-57.0,-1.0,-49.0,-38.0,-34.0,15.0
India,2020-06-19,-57.0,1.0,-50.0,-38.0,-34.0,15.0
India,2020-06-20,-59.0,-4.0,-53.0,-38.0,-25.0,13.0
India,2020-06-21,-68.0,-25.0,-58.0,-47.0,-18.0,15.0
India,2020-06-22,-55.0,4.0,-49.0,-37.0,-34.0,15.0
India,2020-06-23,-56.0,3.0,-48.0,-36.0,-36.0,15.0
India,2020-06-24,-56.0,2.0,-50.0,-36.0,-33.0,14.0
India,2020-06-25,-58.0,-2.0,-49.0,-38.0,-34.0,15.0
India,2020-06-26,-58.0,1.0,-49.0,-38.0,-33.0,15.0
India,2020-06-27,-60.0,-5.0,-53.0,-39.0,-29.0,14.0
India,2020-06-28,-65.0,-17.0,-57.0,-42.0,-16.0,12.0
India,2020-06-29,-57.0,-1.0,-49.0,-39.0,-33.0,15.0
India,2020-06-30,-55.0,0.0,-48.0,-38.0,-35.0,14.0
India,2020-07-01,-56.0,0.0,-49.0,-38.0,-33.0,14.0
India,2020-07-02,-56.0,-2.0,-48.0,-39.0,-34.0,15.0
India,2020-07-03,-57.0,0.0,-49.0,-39.0,-33.0,16.0
India,2020-07-04,-59.0,-5.0,-53.0,-40.0,-26.0,14.0
India,2020-07-05,-68.0,-23.0,-57.0,-48.0,-20.0,14.0
India,2020-07-06,-56.0,-1.0,-49.0,-40.0,-33.0,15.0
India,2020-07-07,-56.0,-2.0,-48.0,-39.0,-35.0,15.0
India,2020-07-08,-56.0,-3.0,-50.0,-39.0,-32.0,15.0
India,2020-07-09,-57.0,-4.0,-49.0,-40.0,-33.0,15.0
India,2020-07-10,-57.0,-1.0,-50.0,-39.0,-33.0,16.0
India,2020-07-11,-61.0,-12.0,-54.0,-43.0,-32.0,16.0
India,2020-07-12,-71.0,-30.0,-58.0,-51.0,-22.0,15.0
India,2020-07-13,-55.0,0.0,-49.0,-40.0,-33.0,15.0
India,2020-07-14,-58.0,-5.0,-49.0,-41.0,-36.0,16.0
India,2020-07-15,-59.0,-9.0,-51.0,-41.0,-34.0,17.0
India,2020-07-16,-59.0,-10.0,-50.0,-42.0,-35.0,17.0
India,2020-07-17,-59.0,-7.0,-50.0,-41.0,-34.0,17.0
India,2020-07-18,-64.0,-18.0,-54.0,-44.0,-30.0,17.0
India,2020-07-19,-71.0,-32.0,-58.0,-51.0,-23.0,15.0
India,2020-07-20,-58.0,-9.0,-50.0,-43.0,-36.0,17.0
India,2020-07-21,-59.0,-11.0,-50.0,-42.0,-37.0,17.0
India,2020-07-22,-57.0,-6.0,-51.0,-39.0,-33.0,16.0
India,2020-07-23,-59.0,-13.0,-51.0,-43.0,-36.0,17.0
India,2020-07-24,-57.0,-4.0,-48.0,-39.0,-32.0,16.0
India,2020-07-25,-64.0,-21.0,-54.0,-45.0,-33.0,18.0
India,2020-07-26,-70.0,-31.0,-57.0,-49.0,-22.0,15.0
India,2020-07-27,-56.0,-6.0,-48.0,-39.0,-33.0,16.0
India,2020-07-28,-57.0,-9.0,-49.0,-39.0,-35.0,16.0
India,2020-07-29,-57.0,-10.0,-51.0,-40.0,-35.0,16.0
India,2020-07-30,-54.0,-1.0,-47.0,-37.0,-33.0,15.0
India,2020-07-31,-54.0,0.0,-47.0,-37.0,-34.0,16.0
India,2020-08-01,-59.0,-13.0,-51.0,-41.0,-36.0,16.0
India,2020-08-02,-61.0,-16.0,-54.0,-42.0,-19.0,12.0
India,2020-08-03,-55.0,-6.0,-45.0,-39.0,-47.0,15.0
India,2020-08-04,-55.0,-8.0,-48.0,-39.0,-36.0,14.0
India,2020-08-05,-54.0,-18.0,-56.0,-43.0,-34.0,15.0
India,2020-08-06,-51.0,-11.0,-53.0,-39.0,-32.0,14.0
India,2020-08-07,-50.0,-5.0,-51.0,-37.0,-29.0,12.0
India,2020-08-08,-56.0,-19.0,-57.0,-43.0,-29.0,14.0
India,2020-08-09,-62.0,-29.0,-59.0,-45.0,-15.0,11.0
India,2020-08-10,-46.0,-2.0,-51.0,-36.0,-30.0,12.0
India,2020-08-11,-48.0,-6.0,-51.0,-37.0,-34.0,13.0
India,2020-08-12,-49.0,-10.0,-53.0,-39.0,-36.0,15.0
India,2020-08-13,-50.0,-12.0,-52.0,-39.0,-32.0,14.0
India,2020-08-14,-47.0,-4.0,-51.0,-35.0,-29.0,13.0
India,2020-08-15,-56.0,-20.0,-55.0,-43.0,-42.0,16.0
India,2020-08-16,-61.0,-28.0,-59.0,-45.0,-15.0,11.0
India,2020-08-17,-46.0,-4.0,-50.0,-35.0,-28.0,12.0
India,2020-08-18,-47.0,-5.0,-49.0,-35.0,-29.0,12.0
India,2020-08-19,-47.0,-5.0,-51.0,-34.0,-28.0,13.0
India,2020-08-20,-49.0,-10.0,-52.0,-37.0,-31.0,13.0
India,2020-08-21,-47.0,-2.0,-51.0,-34.0,-30.0,14.0
